Precinct	Registered.Voters	AbsenteeFOR	EarlyFOR	ElectionDayFOR	ChoiceFOR.Total	AbsenteeAGAINST	EarlyAGAINST	ElectionDayAGAINST	ChoiceAGAINST.Total	TotalVoteCount	PCTFOR	PCTAGAINST
1005	2129	0	0	0	0	0	0	0	0	0		
1007	3974	0	0	0	0	0	0	0	0	0		
1008	1258	0	3	7	10	5	7	13	25	35	0.285714285714286	0.714285714285714
1009	2284	20	197	147	364	23	114	86	223	587	0.620102214650767	0.379897785349233
1010	2436	26	277	149	452	43	171	98	312	764	0.591623036649215	0.408376963350785
1011	2831	58	356	278	692	57	166	170	393	1085	0.63778801843318	0.36221198156682
1012	2625	80	555	238	873	73	292	197	562	1435	0.608362369337979	0.391637630662021
1013	2752	49	242	132	423	35	214	145	394	817	0.517747858017136	0.482252141982864
1014	253	1	24	18	43	1	5	6	12	55	0.781818181818182	0.218181818181818
1015	2605	117	479	152	748	93	370	132	595	1343	0.556962025316456	0.443037974683544
1016	2653	59	308	167	534	52	362	210	624	1158	0.461139896373057	0.538860103626943
1017	4302	76	442	331	849	113	473	295	881	1730	0.490751445086705	0.509248554913295
1018	4148	83	509	320	912	79	437	297	813	1725	0.528695652173913	0.471304347826087
1019	2491	45	199	166	410	52	177	113	342	752	0.545212765957447	0.454787234042553
1038	267	0	18	19	37	2	24	17	43	80	0.4625	0.5375
1039	0	0	0	0	0	0	0	0	0	0		
4001	1298	0	2	3	5	1	17	6	24	29	0.172413793103448	0.827586206896552
4002	3056	0	1	0	1	0	0	1	1	2	0.5	0.5
4003	4967	183	497	280	960	357	937	513	1807	2767	0.346946151066137	0.653053848933863
4004	1999	20	173	73	266	18	68	26	112	378	0.703703703703704	0.296296296296296
4005	2170	55	363	240	658	55	183	172	410	1068	0.616104868913858	0.383895131086142
4006	2294	51	433	244	728	40	133	126	299	1027	0.708860759493671	0.291139240506329
4007	6104	52	949	456	1457	24	185	140	349	1806	0.806755260243632	0.193244739756368
4008	1641	31	350	184	565	18	70	49	137	702	0.804843304843305	0.195156695156695
4009	3380	69	330	196	595	36	139	80	255	850	0.7	0.3
4010	1714	28	224	117	369	23	124	80	227	596	0.619127516778524	0.380872483221476
4011	4694	76	430	291	797	83	228	177	488	1285	0.620233463035019	0.379766536964981
4012	1695	18	173	118	309	20	134	128	282	591	0.522842639593909	0.477157360406091
4013	291	2	56	26	84	4	15	16	35	119	0.705882352941177	0.294117647058824
4014	1514	2	131	79	212	1	30	34	65	277	0.765342960288809	0.234657039711191
4015	718	3	56	45	104	3	33	20	56	160	0.65	0.35
4016	7	0	0	0	0	0	0	0	0	0		
4017	3695	0	0	0	0	0	0	0	0	0		
4037	1842	42	280	213	535	29	123	89	241	776	0.689432989690722	0.310567010309278
4038	270	8	33	12	53	9	34	13	56	109	0.486238532110092	0.513761467889908
4039	1750	2	205	119	326	0	49	37	86	412	0.79126213592233	0.20873786407767
4040	1157	79	186	101	366	51	110	39	200	566	0.646643109540636	0.353356890459364
4041	1173	6	100	89	195	16	77	96	189	384	0.5078125	0.4921875
4042	39	0	0	0	0	0	2	1	3	3	0	1
